iso,fullken,total,first,second,date,tier,date.scrape
JP-25,滋賀県,527987,340802,187185,2021-07-12,IPPAN,2021-07-16
JP-26,京都府,1025535,639158,386377,2021-07-12,IPPAN,2021-07-16
JP-27,大阪府,2986673,1944316,1042357,2021-07-12,IPPAN,2021-07-16
JP-28,兵庫県,2239258,1480335,758923,2021-07-12,IPPAN,2021-07-16
JP-29,奈良県,580844,381689,199155,2021-07-12,IPPAN,2021-07-16
JP-30,和歌山県,504745,308748,195997,2021-07-12,IPPAN,2021-07-16
JP-31,鳥取県,259672,159196,100476,2021-07-12,IPPAN,2021-07-16
JP-32,島根県,303400,184735,118665,2021-07-12,IPPAN,2021-07-16
JP-33,岡山県,858853,530037,328816,2021-07-12,IPPAN,2021-07-16
JP-34,広島県,1062387,690562,371825,2021-07-12,IPPAN,2021-07-16
JP-35,山口県,723891,450050,273841,2021-07-12,IPPAN,2021-07-16
JP-36,徳島県,354642,217602,137040,2021-07-12,IPPAN,2021-07-16
JP-37,香川県,386807,242145,144662,2021-07-12,IPPAN,2021-07-16
JP-38,愛媛県,601693,391311,210382,2021-07-12,IPPAN,2021-07-16
JP-39,高知県,358971,222963,136008,2021-07-12,IPPAN,2021-07-16
JP-40,福岡県,2010628,1293515,717113,2021-07-12,IPPAN,2021-07-16
JP-41,佐賀県,419668,254085,165583,2021-07-12,IPPAN,2021-07-16
JP-42,長崎県,597585,381884,215701,2021-07-12,IPPAN,2021-07-16
JP-43,熊本県,836885,527396,309489,2021-07-12,IPPAN,2021-07-16
JP-44,大分県,519647,326804,192843,2021-07-12,IPPAN,2021-07-16
JP-45,宮崎県,505753,312243,193510,2021-07-12,IPPAN,2021-07-16
JP-46,鹿児島県,675998,432284,243714,2021-07-12,IPPAN,2021-07-16
JP-47,沖縄県,436242,287171,149071,2021-07-12,IPPAN,2021-07-16
