date,facilities,dose,n,tier,maker,date.stated
2021-05-27,NA,2,0,IRYO,moderna,2021-07-13
2021-05-26,NA,2,0,IRYO,moderna,2021-07-13
2021-05-25,NA,2,0,IRYO,moderna,2021-07-13
2021-05-24,NA,2,0,IRYO,moderna,2021-07-13
2021-05-21,NA,2,0,IRYO,moderna,2021-07-13
2021-05-20,NA,2,0,IRYO,moderna,2021-07-13
2021-05-19,NA,2,0,IRYO,moderna,2021-07-13
2021-05-18,NA,2,0,IRYO,moderna,2021-07-13
2021-05-17,NA,2,0,IRYO,moderna,2021-07-13
2021-05-14,NA,2,0,IRYO,moderna,2021-07-13
2021-05-13,NA,2,0,IRYO,moderna,2021-07-13
2021-05-12,NA,2,0,IRYO,moderna,2021-07-13
2021-05-11,NA,2,0,IRYO,moderna,2021-07-13
2021-05-10,NA,2,0,IRYO,moderna,2021-07-13
2021-05-07,NA,2,0,IRYO,moderna,2021-07-13
2021-05-06,NA,2,0,IRYO,moderna,2021-07-13
2021-04-30,NA,2,0,IRYO,moderna,2021-07-13
2021-04-28,NA,2,0,IRYO,moderna,2021-07-13
2021-04-27,NA,2,0,IRYO,moderna,2021-07-13
2021-04-26,NA,2,0,IRYO,moderna,2021-07-13
2021-04-23,NA,2,0,IRYO,moderna,2021-07-13
2021-04-22,NA,2,0,IRYO,moderna,2021-07-13
2021-04-21,NA,2,0,IRYO,moderna,2021-07-13
2021-04-20,NA,2,0,IRYO,moderna,2021-07-13
2021-04-19,NA,2,0,IRYO,moderna,2021-07-13
2021-04-16,NA,2,0,IRYO,moderna,2021-07-13
2021-04-15,NA,2,0,IRYO,moderna,2021-07-13
2021-04-14,NA,2,0,IRYO,moderna,2021-07-13
2021-04-13,NA,2,0,IRYO,moderna,2021-07-13
2021-04-12,NA,2,0,IRYO,moderna,2021-07-13
2021-07-12,NA,1,140864,KOREI,pfizer,2021-07-13
2021-07-11,NA,1,132238,KOREI,pfizer,2021-07-13
2021-07-10,NA,1,257353,KOREI,pfizer,2021-07-13
2021-07-09,NA,1,272983,KOREI,pfizer,2021-07-13
2021-07-08,NA,1,338431,KOREI,pfizer,2021-07-13
2021-07-07,NA,1,383270,KOREI,pfizer,2021-07-13
2021-07-06,NA,1,383820,KOREI,pfizer,2021-07-13
2021-07-05,NA,1,384795,KOREI,pfizer,2021-07-13
2021-07-04,NA,1,409832,KOREI,pfizer,2021-07-13
2021-07-03,NA,1,415972,KOREI,pfizer,2021-07-13
2021-07-02,NA,1,215344,KOREI,pfizer,2021-07-13
2021-07-01,NA,1,281195,KOREI,pfizer,2021-07-13
2021-06-30,NA,1,449951,KOREI,pfizer,2021-07-13
2021-06-29,NA,1,445821,KOREI,pfizer,2021-07-13
2021-06-28,NA,1,424772,KOREI,pfizer,2021-07-13
2021-06-27,NA,1,517157,KOREI,pfizer,2021-07-13
2021-06-26,NA,1,493605,KOREI,pfizer,2021-07-13
2021-06-25,NA,1,460462,KOREI,pfizer,2021-07-13
2021-06-24,NA,1,499249,KOREI,pfizer,2021-07-13
2021-06-23,NA,1,519041,KOREI,pfizer,2021-07-13
2021-06-22,NA,1,521924,KOREI,pfizer,2021-07-13
2021-06-21,NA,1,514163,KOREI,pfizer,2021-07-13
2021-06-20,NA,1,532970,KOREI,pfizer,2021-07-13
2021-06-19,NA,1,536674,KOREI,pfizer,2021-07-13
2021-06-18,NA,1,508681,KOREI,pfizer,2021-07-13
2021-06-17,NA,1,536254,KOREI,pfizer,2021-07-13
2021-06-16,NA,1,531367,KOREI,pfizer,2021-07-13
2021-06-15,NA,1,553530,KOREI,pfizer,2021-07-13
2021-06-14,NA,1,513622,KOREI,pfizer,2021-07-13
2021-06-13,NA,1,517641,KOREI,pfizer,2021-07-13
2021-06-12,NA,1,570186,KOREI,pfizer,2021-07-13
2021-06-11,NA,1,603862,KOREI,pfizer,2021-07-13
2021-06-10,NA,1,603171,KOREI,pfizer,2021-07-13
2021-06-09,NA,1,617925,KOREI,pfizer,2021-07-13
2021-06-08,NA,1,634474,KOREI,pfizer,2021-07-13
2021-06-07,NA,1,585387,KOREI,pfizer,2021-07-13
2021-06-06,NA,1,507793,KOREI,pfizer,2021-07-13
2021-06-05,NA,1,554770,KOREI,pfizer,2021-07-13
2021-06-04,NA,1,582456,KOREI,pfizer,2021-07-13
2021-06-03,NA,1,601435,KOREI,pfizer,2021-07-13
2021-06-02,NA,1,597910,KOREI,pfizer,2021-07-13
2021-06-01,NA,1,579180,KOREI,pfizer,2021-07-13
2021-05-31,NA,1,483972,KOREI,pfizer,2021-07-13
2021-05-30,NA,1,425463,KOREI,pfizer,2021-07-13
2021-05-29,NA,1,429028,KOREI,pfizer,2021-07-13
2021-05-28,NA,1,474628,KOREI,pfizer,2021-07-13
2021-05-27,NA,1,500935,KOREI,pfizer,2021-07-13
2021-05-26,NA,1,518920,KOREI,pfizer,2021-07-13
2021-05-25,NA,1,466479,KOREI,pfizer,2021-07-13
2021-05-24,NA,1,404540,KOREI,pfizer,2021-07-13
2021-05-23,NA,1,311207,KOREI,pfizer,2021-07-13
2021-05-22,NA,1,264119,KOREI,pfizer,2021-07-13
2021-05-21,NA,1,248510,KOREI,pfizer,2021-07-13
2021-05-20,NA,1,288218,KOREI,pfizer,2021-07-13
2021-05-19,NA,1,277768,KOREI,pfizer,2021-07-13
2021-05-18,NA,1,226841,KOREI,pfizer,2021-07-13
2021-05-17,NA,1,189054,KOREI,pfizer,2021-07-13
2021-05-16,NA,1,177787,KOREI,pfizer,2021-07-13
2021-05-15,NA,1,123734,KOREI,pfizer,2021-07-13
2021-05-14,NA,1,111792,KOREI,pfizer,2021-07-13
2021-05-13,NA,1,133488,KOREI,pfizer,2021-07-13
2021-05-12,NA,1,136345,KOREI,pfizer,2021-07-13
2021-05-11,NA,1,106624,KOREI,pfizer,2021-07-13
2021-05-10,NA,1,84273,KOREI,pfizer,2021-07-13
2021-05-09,NA,1,66200,KOREI,pfizer,2021-07-13
2021-05-08,NA,1,48777,KOREI,pfizer,2021-07-13
2021-05-07,NA,1,31378,KOREI,pfizer,2021-07-13
2021-05-06,NA,1,32814,KOREI,pfizer,2021-07-13
2021-05-05,NA,1,8155,KOREI,pfizer,2021-07-13
2021-05-04,NA,1,6615,KOREI,pfizer,2021-07-13
2021-05-03,NA,1,5742,KOREI,pfizer,2021-07-13
2021-05-02,NA,1,20249,KOREI,pfizer,2021-07-13
2021-05-01,NA,1,22576,KOREI,pfizer,2021-07-13
2021-04-30,NA,1,26591,KOREI,pfizer,2021-07-13
2021-04-29,NA,1,12797,KOREI,pfizer,2021-07-13
2021-04-28,NA,1,36113,KOREI,pfizer,2021-07-13
2021-04-27,NA,1,36979,KOREI,pfizer,2021-07-13
2021-04-26,NA,1,27265,KOREI,pfizer,2021-07-13
2021-04-25,NA,1,15292,KOREI,pfizer,2021-07-13
2021-04-24,NA,1,15620,KOREI,pfizer,2021-07-13
2021-04-23,NA,1,18162,KOREI,pfizer,2021-07-13
2021-04-22,NA,1,24542,KOREI,pfizer,2021-07-13
2021-04-21,NA,1,25991,KOREI,pfizer,2021-07-13
2021-04-20,NA,1,21831,KOREI,pfizer,2021-07-13
2021-04-19,NA,1,13916,KOREI,pfizer,2021-07-13
2021-04-18,NA,1,5643,KOREI,pfizer,2021-07-13
2021-04-17,NA,1,3688,KOREI,pfizer,2021-07-13
2021-04-16,NA,1,3421,KOREI,pfizer,2021-07-13
2021-04-15,NA,1,4302,KOREI,pfizer,2021-07-13
2021-04-14,NA,1,3137,KOREI,pfizer,2021-07-13
2021-04-13,NA,1,2908,KOREI,pfizer,2021-07-13
2021-04-12,NA,1,3480,KOREI,pfizer,2021-07-13
2021-07-12,NA,1,722,KOREI,moderna,2021-07-13
2021-07-11,NA,1,898,KOREI,moderna,2021-07-13
2021-07-10,NA,1,1188,KOREI,moderna,2021-07-13
2021-07-09,NA,1,643,KOREI,moderna,2021-07-13
2021-07-08,NA,1,916,KOREI,moderna,2021-07-13
2021-07-07,NA,1,1072,KOREI,moderna,2021-07-13
2021-07-06,NA,1,863,KOREI,moderna,2021-07-13
2021-07-05,NA,1,2531,KOREI,moderna,2021-07-13
2021-07-04,NA,1,4289,KOREI,moderna,2021-07-13
2021-07-03,NA,1,9194,KOREI,moderna,2021-07-13
2021-07-02,NA,1,7160,KOREI,moderna,2021-07-13
2021-07-01,NA,1,7274,KOREI,moderna,2021-07-13
2021-06-30,NA,1,10732,KOREI,moderna,2021-07-13
2021-06-29,NA,1,10533,KOREI,moderna,2021-07-13
2021-06-28,NA,1,12076,KOREI,moderna,2021-07-13
2021-06-27,NA,1,14869,KOREI,moderna,2021-07-13
2021-06-26,NA,1,18410,KOREI,moderna,2021-07-13
2021-06-25,NA,1,13972,KOREI,moderna,2021-07-13
2021-06-24,NA,1,14133,KOREI,moderna,2021-07-13
2021-06-23,NA,1,14740,KOREI,moderna,2021-07-13
2021-06-22,NA,1,17867,KOREI,moderna,2021-07-13
2021-06-21,NA,1,18253,KOREI,moderna,2021-07-13
2021-06-20,NA,1,23083,KOREI,moderna,2021-07-13
2021-06-19,NA,1,24340,KOREI,moderna,2021-07-13
2021-06-18,NA,1,19676,KOREI,moderna,2021-07-13
2021-06-17,NA,1,24074,KOREI,moderna,2021-07-13
2021-06-16,NA,1,25583,KOREI,moderna,2021-07-13
2021-06-15,NA,1,26035,KOREI,moderna,2021-07-13
2021-06-14,NA,1,26869,KOREI,moderna,2021-07-13
2021-06-13,NA,1,30603,KOREI,moderna,2021-07-13
2021-06-12,NA,1,30205,KOREI,moderna,2021-07-13
2021-06-11,NA,1,26622,KOREI,moderna,2021-07-13
2021-06-10,NA,1,26607,KOREI,moderna,2021-07-13
2021-06-09,NA,1,25145,KOREI,moderna,2021-07-13
2021-06-08,NA,1,27302,KOREI,moderna,2021-07-13
2021-06-07,NA,1,27111,KOREI,moderna,2021-07-13
2021-06-06,NA,1,21417,KOREI,moderna,2021-07-13
2021-06-05,NA,1,18747,KOREI,moderna,2021-07-13
2021-06-04,NA,1,18684,KOREI,moderna,2021-07-13
2021-06-03,NA,1,18711,KOREI,moderna,2021-07-13
